GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS454782401	2017-01-09 23:27:03	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-05	14:08:00	obsr555085	S33474319	Traveling	P22	EBIRD	35	0.402		1	1		0	1	0		<br>Submitted from eBird Android 1.3		
URN:CornellLabOfOrnithology:EBIRD:OBS466304557	2019-08-09 23:38:08	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-26	06:30:00	obsr294134	S34413559	Traveling	P22	EBIRD	270	3.000		4	1	G2233474	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS469833281	2019-08-09 23:38:09	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-26	06:30:00	obsr402712	S34741518	Traveling	P22	EBIRD	270	3.000		4	1	G2233474	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478865499	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr895260	S35444448	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454566542	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr419548	S33454576	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0		Birding around the cabins		
URN:CornellLabOfOrnithology:EBIRD:OBS600569967	2022-10-26 03:23:14.40742	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Tela Atlántida, Tela HN-Atlántida (15.7900,-87.4439)	L7229541	P	15.7899660	-87.4438720	2017-01-01	07:29:00	obsr683567	S44613484	Traveling	P22	EBIRD	500	5.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454575501	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr398519	S33455795	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454624541	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr548297	S33460387	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464556871	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-09	06:09:00	obsr804519	S34272492	Traveling	P22	EBIRD	300	4.828		1	1	G2833245	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS462791032	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-01	06:00:00	obsr218138	S34128738	Traveling	P22	EBIRD	700	6.437		5	1	G2187345	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS476697214	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-20	05:30:00	obsr785350	S35281102	Traveling	P22	EBIRD_CAN	180	5.000		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS465962932	2018-08-07 09:08:17	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-02-15	06:15:00	obsr599488	S34386794	Traveling	P22	EBIRD_QC	315	4.000		3	1	G2239245	0	1	0		"The Loop", depuis le lodge, avec Christine, Ronald, Gaëtane et José Santos (guide).		
URN:CornellLabOfOrnithology:EBIRD:OBS463833122	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr852922	S34212846	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464785353	2019-08-09 23:38:10	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-10	10:00:00	obsr804519	S34290680	Traveling	P22	EBIRD	480	4.828		1	1	G2833232	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS470658950	2018-08-07 09:08:17	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-02-15	06:15:00	obsr730362	S34812657	Traveling	P22	EBIRD_QC	315	4.000		3	1	G2239245	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS468571326	2021-08-05 16:39:39.353672	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							pro-pino zona abortiguamiento PN PICO BONOTO	L4303411	P	15.6957644	-86.9103098	2017-02-17	06:30:00	obsr662346	S34623842	Traveling	P22	EBIRD	190	2.400		4	1	G2229213	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS462779346	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-01	06:00:00	obsr175163	S34127737	Traveling	P22	EBIRD	700	6.437		5	1	G2187345	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS462547800	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-01	06:00:00	obsr108577	S34105985	Traveling	P22	EBIRD	700	6.437		5	1	G2187345	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS473750023	2020-02-13 10:33:17	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-02-28	07:00:00	obsr316297	S35054217	Traveling	P22	EBIRD_CAMERICA	300	5.000		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS604521977	2018-08-07 09:08:17	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-02-15	06:15:00	obsr500378	S44880906	Traveling	P22	EBIRD_QC	315	4.000		3	1	G2239245	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS471350037	2017-03-03 15:40:05	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Unbelievable Falls Trails at The Lodge	L2435781	H	15.6834728	-86.8984437	2017-02-28	07:16:00	obsr169994	S34868214	Traveling	P22	EBIRD_NJ	240	3.219		3	1	G2245547	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS563394391	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-09	06:09:00	obsr194669	S41572234	Traveling	P22	EBIRD	300	4.828		1	1	G2833245	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS463854087	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr334421	S34214511	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0		grupo # 3 Rio santiago		
URN:CornellLabOfOrnithology:EBIRD:OBS470054362	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-24	06:32:00	obsr398519	S34765134	Traveling	P22	EBIRD	260	3.219		2	1	G2235733	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS471440920	2017-02-28 17:07:18	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Unbelievable Falls Trails at The Lodge	L2435781	H	15.6834728	-86.8984437	2017-02-28	07:16:00	obsr162335	S34875610	Traveling	P22	EBIRD_NJ	240	3.219		3	1	G2245547	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS471332251	2017-03-01 21:46:34	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-02-28	06:30:00	obsr703876	S34866810	Traveling	P22	EBIRD_QC	120	1.500		2	1	G2248990	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS466917345	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr801588	S34470603	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS514840540	2017-06-29 09:45:37	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-02-28	06:30:00	obsr836690	S37865669	Traveling	P22	EBIRD_QC	120	1.500		2	1	G2248990	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS475016107	2021-08-05 00:48:13.89859	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							pro-pino zona abortiguamiento PN PICO BONOTO	L4303411	P	15.6957644	-86.9103098	2017-02-17	06:30:00	obsr831250	S35152958	Traveling	P22	EBIRD	190	2.400		4	1	G2229213	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464802509	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr273067	S34292132	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0		grupo # 3 Rio santiago		
URN:CornellLabOfOrnithology:EBIRD:OBS472033835	2017-03-02 18:18:18	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-26	06:00:00	obsr346671	S34920901	Traveling	P22	EBIRD	120	3.219		2	0		0	1	0			Heard	
URN:CornellLabOfOrnithology:EBIRD:OBS468731748	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr847883	S34637016	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478865657	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-24	06:32:00	obsr895260	S35444456	Traveling	P22	EBIRD	260	3.219		2	1	G2235733	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS563393932	2019-08-09 23:38:10	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-10	10:00:00	obsr194669	S41572205	Traveling	P22	EBIRD	480	4.828		1	1	G2833232	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS673522339	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Loop Trail at The Lodge	L5646295	H	15.6821824	-86.9010007	2017-02-28	10:00:00	obsr333023	S49689453	Traveling	P22	EBIRD	240	2.414		3	0		0	1	0		Paradise Birding Tour		
URN:CornellLabOfOrnithology:EBIRD:OBS462788507	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-01	06:00:00	obsr217535	S34128512	Traveling	P22	EBIRD	700	6.437		5	1	G2187345	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1504921314	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr288685	S117539147	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0		grupo # 3 Rio santiago		
URN:CornellLabOfOrnithology:EBIRD:OBS471380709	2017-03-03 16:00:52	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Unbelievable Falls Trails at The Lodge	L2435781	H	15.6834728	-86.8984437	2017-02-28	07:16:00	obsr5524	S34870771	Traveling	P22	EBIRD_NJ	240	3.219		3	1	G2245547	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS476204895	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-24	06:32:00	obsr419548	S35244302	Traveling	P22	EBIRD	260	3.219		2	1	G2235733	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS466280958	2021-08-05 16:14:29.936444	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Unbelievable Falls Trails at The Lodge	L2435781	H	15.6834728	-86.8984437	2017-02-16	14:00:00	obsr662346	S34411824	Traveling	P22	EBIRD	240	4.000		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464691158	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr460573	S34283101	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS468581547	2021-08-05 00:48:13.89859	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							pro-pino zona abortiguamiento PN PICO BONOTO	L4303411	P	15.6957644	-86.9103098	2017-02-17	06:30:00	obsr852988	S34624767	Traveling	P22	EBIRD	190	2.400		4	1	G2229213	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS463354649	2021-03-31 20:34:45.556888	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							HN-Atlántida-El Porvenir - 15.7196x-86.9647 - 4 feb. 2017 7:10 a.m.	L5406562	P	15.7195950	-86.9646820	2017-02-04	07:10:00	obsr844202	S34174275	Traveling	P22	EBIRD	720	6.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464024000	2017-02-07 15:55:00	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	14:45:00	obsr852922	S34227771	Traveling	P22	EBIRD	135	1.000		14	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464231791	2022-12-10 17:05:49.794359	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-04	07:30:00	obsr700306	S34244726	Traveling	P22	EBIRD	430	3.000		14	1	G2196112	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478865795	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				4					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-25	05:30:00	obsr895260	S35444464	Traveling	P22	EBIRD	240	4.828		3	1	G2296468	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS481289153	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Loop Trail at The Lodge	L5646295	H	15.6821824	-86.9010007	2017-03-31	16:00:00	obsr113578	S35644805	Traveling	P22	EBIRD	95	1.287		2	1	G2912957	1	1	0		Alex saw a Fer-de-lance and a Green Racer.	Great looks! Have digiscoped video a well.	
URN:CornellLabOfOrnithology:EBIRD:OBS481199462	2019-08-09 23:38:19	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-29	07:50:00	obsr113578	S35638372	Traveling	P22	EBIRD	225	1.368		11	1	G2311093	1	1	0		High Lonesome Bird Tour led by Stephan Lorenz and Alex Alvarado.		
URN:CornellLabOfOrnithology:EBIRD:OBS481478589	2020-04-08 16:33:15	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-29	06:30:00	obsr840130	S35658638	Traveling	P22	EBIRD	315	6.000		11	1	G2310726	1	1	0		visit to the Rio Santiago reserve trails and hummingbird feeders	great scope views	
URN:CornellLabOfOrnithology:EBIRD:OBS481372228	2019-08-09 23:38:19	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-29	07:50:00	obsr149051	S35650922	Traveling	P22	EBIRD	225	1.368		11	1	G2311093	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478865921	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				4					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-26	05:30:00	obsr895260	S35444468	Traveling	P22	EBIRD_CAMERICA	300	3.000		3	1	G2296482	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS514840892	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-03	07:00:00	obsr836690	S37865684	Traveling	P22	EBIRD_QC	300	1.000		2	1	G2253723	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS474796303	2017-03-14 00:28:09	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-07	13:10:00	obsr298907	S35136800	Traveling	P22	EBIRD	250	1.609		10	1		0	1	0			Heard then saw.  Good scope views.  	
URN:CornellLabOfOrnithology:EBIRD:OBS479310807	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-27	05:30:00	obsr398519	S35476718	Traveling	P22	EBIRD_CAMERICA	300	3.000		2	1	G2299485	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478790788	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-26	06:15:00	obsr548297	S35439053	Traveling	P22	EBIRD	120	0.322		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478868462	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				4					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-25	05:30:00	obsr882773	S35444643	Traveling	P22	EBIRD	240	4.828		3	1	G2296468	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS476411705	2022-01-30 16:04:09.967212	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-03-18	05:47:00	obsr231603	S35260051	Traveling	P22	EBIRD_CAMERICA	437	1.500		5	1	G2280066	0	1	0		Lodge grounds and Mermaid Trail. Missed a Quetzal (Elmer Escoto)		
URN:CornellLabOfOrnithology:EBIRD:OBS479226498	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-27	05:30:00	obsr882773	S35470714	Traveling	P22	EBIRD_CAMERICA	300	3.000		2	1	G2299485	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478862829	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				4					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-25	05:30:00	obsr398519	S35444250	Traveling	P22	EBIRD	240	4.828		3	1	G2296468	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS476384914	2022-01-30 16:04:09.967212	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Lodge at Pico Bonito	L870828	H	15.6929962	-86.9022846	2017-03-18	05:47:00	obsr247263	S35257954	Traveling	P22	EBIRD_CAMERICA	437	1.500		5	1	G2280066	0	1	0		Lodge grounds and Mermaid Trail. Missed a Quetzal (Elmer Escoto)		
URN:CornellLabOfOrnithology:EBIRD:OBS573622686	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							PN Pico Bonito--Loop Trail at The Lodge	L5646295	H	15.6821824	-86.9010007	2017-03-31	16:00:00	obsr328838	S42440902	Traveling	P22	EBIRD	95	1.287		2	1	G2912957	1	1	0			Great looks! Have digiscoped video a well.	
URN:CornellLabOfOrnithology:EBIRD:OBS478421331	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				4					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-25	05:30:00	obsr548297	S35413717	Traveling	P22	EBIRD	240	4.828		3	1	G2296468	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS479499848	2021-08-04 22:32:58.715323	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-27	05:30:00	obsr895260	S35491044	Traveling	P22	EBIRD_CAMERICA	300	3.000		2	1	G2299485	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS479943277	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-29	16:32:00	obsr895260	S35524124	Traveling	P22	EBIRD	120	3.219		2	1	G2303897	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478854762	2021-08-05 16:14:29.936444	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				4					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-03-26	05:30:00	obsr882773	S35443706	Traveling	P22	EBIRD_CAMERICA	300	3.000		3	1	G2296482	0	1	0				
