GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS585004317	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-03	07:31:00	obsr789606	S43415788	Traveling	P22	EBIRD	185	0.400		5	1	G2991461	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS592640303	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2	C 	C3	C 		Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-27	12:30:00	obsr651458	S44026551	Traveling	P22	EBIRD	150	0.100		3	1	G3045856	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS584367755	2021-06-25 10:25:36.579999	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							Lago de Yojoa--Sector Cortijo del Lago	L1868472	H	14.9028461	-87.9544618	2018-03-03	05:25:00	obsr143555	S43364458	Traveling	P22	EBIRD_CAMERICA	16	0.265		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS586666142	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-02	07:00:00	obsr161170	S43552698	Traveling	P22	EBIRD	720	4.828		8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS591169418	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-24	07:08:00	obsr316288	S43910112	Traveling	P22	EBIRD	149	2.027		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS587016149	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-11	06:00:00	obsr789606	S43580000	Stationary	P21	EBIRD_CAMERICA	95			6	1	G3011319	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS584678098	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-03	07:31:00	obsr981734	S43389575	Traveling	P22	EBIRD	185	0.400		5	1	G2991461	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS584495440	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-03	07:31:00	obsr546404	S43374693	Traveling	P22	EBIRD	185	0.400		5	1	G2991461	0	1	0		Día soleado, poco viento		
URN:CornellLabOfOrnithology:EBIRD:OBS591432260	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-24	10:03:00	obsr546404	S43929878	Traveling	P22	EBIRD	238	0.800		1	1		1	1	0		Día soleado con poco viento		
URN:CornellLabOfOrnithology:EBIRD:OBS587308483	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-03-11	06:00:00	obsr294695	S43603435	Stationary	P21	EBIRD_CAMERICA	95			6	1	G3011319	1	1	0				
